TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION	NOTAS_OBSERVACION
Las Palmas	09/2017	Personas beneficiarias	51282			
Las Palmas	09/2017	Tasa de cobertura de la prestación de desempleo	49.4			
Las Palmas	09/2017	Paro resgistrado con experiencia laboral	103740			
Santa Cruz de Tenerife	09/2017	Personas beneficiarias	48237			
Santa Cruz de Tenerife	09/2017	Tasa de cobertura de la prestación de desempleo	51.2			
Santa Cruz de Tenerife	09/2017	Paro resgistrado con experiencia laboral	94196			
Canary Islands	08/2017	Personas beneficiarias	110858			
Canary Islands	08/2017	Tasa de cobertura de la prestación de desempleo	55.4			
Canary Islands	08/2017	Paro resgistrado con experiencia laboral	199998			
Las Palmas	08/2017	Personas beneficiarias	57821			
Las Palmas	08/2017	Tasa de cobertura de la prestación de desempleo	55			
Las Palmas	08/2017	Paro resgistrado con experiencia laboral	105081			
Santa Cruz de Tenerife	08/2017	Personas beneficiarias	53037			
Santa Cruz de Tenerife	08/2017	Tasa de cobertura de la prestación de desempleo	55.9			
Santa Cruz de Tenerife	08/2017	Paro resgistrado con experiencia laboral	94917			
Canary Islands	07/2017	Personas beneficiarias	111448			
Canary Islands	07/2017	Tasa de cobertura de la prestación de desempleo	55.5			
Canary Islands	07/2017	Paro resgistrado con experiencia laboral	200840			
Las Palmas	07/2017	Personas beneficiarias	58663			
Las Palmas	07/2017	Tasa de cobertura de la prestación de desempleo	55.4			
Las Palmas	07/2017	Paro resgistrado con experiencia laboral	105808			
Santa Cruz de Tenerife	07/2017	Personas beneficiarias	52785			
Santa Cruz de Tenerife	07/2017	Tasa de cobertura de la prestación de desempleo	55.5			
Santa Cruz de Tenerife	07/2017	Paro resgistrado con experiencia laboral	95032			
Canary Islands	06/2017	Personas beneficiarias	106615			
Canary Islands	06/2017	Tasa de cobertura de la prestación de desempleo	52.6			
Canary Islands	06/2017	Paro resgistrado con experiencia laboral	202617			
Las Palmas	06/2017	Personas beneficiarias	55887			
Las Palmas	06/2017	Tasa de cobertura de la prestación de desempleo	52.3			
Las Palmas	06/2017	Paro resgistrado con experiencia laboral	106920			
Santa Cruz de Tenerife	06/2017	Personas beneficiarias	50728			
Santa Cruz de Tenerife	06/2017	Tasa de cobertura de la prestación de desempleo	53			
Santa Cruz de Tenerife	06/2017	Paro resgistrado con experiencia laboral	95697			
Canary Islands	05/2017	Personas beneficiarias	105802			
Canary Islands	05/2017	Tasa de cobertura de la prestación de desempleo	51.6			
Canary Islands	05/2017	Paro resgistrado con experiencia laboral	204852			
Las Palmas	05/2017	Personas beneficiarias	54731			
Las Palmas	05/2017	Tasa de cobertura de la prestación de desempleo	50.6			
Las Palmas	05/2017	Paro resgistrado con experiencia laboral	108079			
Santa Cruz de Tenerife	05/2017	Personas beneficiarias	51071			
Santa Cruz de Tenerife	05/2017	Tasa de cobertura de la prestación de desempleo	52.8			
Santa Cruz de Tenerife	05/2017	Paro resgistrado con experiencia laboral	96773			
Canary Islands	04/2017	Personas beneficiarias	105489			
Canary Islands	04/2017	Tasa de cobertura de la prestación de desempleo	50.8			
Canary Islands	04/2017	Paro resgistrado con experiencia laboral	207548			
Las Palmas	04/2017	Personas beneficiarias	53989			
Las Palmas	04/2017	Tasa de cobertura de la prestación de desempleo	49.5			
Las Palmas	04/2017	Paro resgistrado con experiencia laboral	109131			
Santa Cruz de Tenerife	04/2017	Personas beneficiarias	51500			
Santa Cruz de Tenerife	04/2017	Tasa de cobertura de la prestación de desempleo	52.3			
Santa Cruz de Tenerife	04/2017	Paro resgistrado con experiencia laboral	98417			
Canary Islands	03/2017	Personas beneficiarias	109091			
Canary Islands	03/2017	Tasa de cobertura de la prestación de desempleo	51.3			
Canary Islands	03/2017	Paro resgistrado con experiencia laboral	212592			
Las Palmas	03/2017	Personas beneficiarias	55602			
Las Palmas	03/2017	Tasa de cobertura de la prestación de desempleo	50			
Las Palmas	03/2017	Paro resgistrado con experiencia laboral	111200			
Santa Cruz de Tenerife	03/2017	Personas beneficiarias	53489			
Santa Cruz de Tenerife	03/2017	Tasa de cobertura de la prestación de desempleo	52.8			
Santa Cruz de Tenerife	03/2017	Paro resgistrado con experiencia laboral	101392			
Canary Islands	02/2017	Personas beneficiarias	107551			
Canary Islands	02/2017	Tasa de cobertura de la prestación de desempleo	50.7			
Canary Islands	02/2017	Paro resgistrado con experiencia laboral	212284			
Las Palmas	02/2017	Personas beneficiarias	55215			
Las Palmas	02/2017	Tasa de cobertura de la prestación de desempleo	49.6			
Las Palmas	02/2017	Paro resgistrado con experiencia laboral	111328			
Santa Cruz de Tenerife	02/2017	Personas beneficiarias	52336			
Santa Cruz de Tenerife	02/2017	Tasa de cobertura de la prestación de desempleo	51.8			
Santa Cruz de Tenerife	02/2017	Paro resgistrado con experiencia laboral	100956			
Canary Islands	01/2017	Personas beneficiarias	108121			
Canary Islands	01/2017	Tasa de cobertura de la prestación de desempleo	50.6			
Canary Islands	01/2017	Paro resgistrado con experiencia laboral	213494			
Las Palmas	01/2017	Personas beneficiarias	55361			
Las Palmas	01/2017	Tasa de cobertura de la prestación de desempleo	49.5			
Las Palmas	01/2017	Paro resgistrado con experiencia laboral	111751			
Santa Cruz de Tenerife	01/2017	Personas beneficiarias	52760			
Santa Cruz de Tenerife	01/2017	Tasa de cobertura de la prestación de desempleo	51.9			
Santa Cruz de Tenerife	01/2017	Paro resgistrado con experiencia laboral	101743			
Canary Islands	2016	Personas beneficiarias	114218			
Canary Islands	2016	Tasa de cobertura de la prestación de desempleo	51.9			
Canary Islands	2016	Paro resgistrado con experiencia laboral	219925			
Las Palmas	2016	Personas beneficiarias	58854			
Las Palmas	2016	Tasa de cobertura de la prestación de desempleo	50.8			
Las Palmas	2016	Paro resgistrado con experiencia laboral	115765			
Santa Cruz de Tenerife	2016	Personas beneficiarias	55364			
Santa Cruz de Tenerife	2016	Tasa de cobertura de la prestación de desempleo	53.2			
Santa Cruz de Tenerife	2016	Paro resgistrado con experiencia laboral	104160			
Canary Islands	12/2016	Personas beneficiarias	106311			
Canary Islands	12/2016	Tasa de cobertura de la prestación de desempleo	50.5			
Canary Islands	12/2016	Paro resgistrado con experiencia laboral	210709			
Las Palmas	12/2016	Personas beneficiarias	54309			
Las Palmas	12/2016	Tasa de cobertura de la prestación de desempleo	49.2			
Las Palmas	12/2016	Paro resgistrado con experiencia laboral	110444			
Santa Cruz de Tenerife	12/2016	Personas beneficiarias	52002			
Santa Cruz de Tenerife	12/2016	Tasa de cobertura de la prestación de desempleo	51.9			
Santa Cruz de Tenerife	12/2016	Paro resgistrado con experiencia laboral	100265			
Canary Islands	11/2016	Personas beneficiarias	107059			
Canary Islands	11/2016	Tasa de cobertura de la prestación de desempleo	49.9			
Canary Islands	11/2016	Paro resgistrado con experiencia laboral	214607			
Las Palmas	11/2016	Personas beneficiarias	54907			
Las Palmas	11/2016	Tasa de cobertura de la prestación de desempleo	48.5			
Las Palmas	11/2016	Paro resgistrado con experiencia laboral	113306			
Santa Cruz de Tenerife	11/2016	Personas beneficiarias	52152			
Santa Cruz de Tenerife	11/2016	Tasa de cobertura de la prestación de desempleo	51.5			
Santa Cruz de Tenerife	11/2016	Paro resgistrado con experiencia laboral	101301			
Canary Islands	10/2016	Personas beneficiarias	105930			
Canary Islands	10/2016	Tasa de cobertura de la prestación de desempleo	49.6			
Canary Islands	10/2016	Paro resgistrado con experiencia laboral	213779			
Las Palmas	10/2016	Personas beneficiarias	54769			
Las Palmas	10/2016	Tasa de cobertura de la prestación de desempleo	48.5			
Las Palmas	10/2016	Paro resgistrado con experiencia laboral	112867			
Santa Cruz de Tenerife	10/2016	Personas beneficiarias	51161			
Santa Cruz de Tenerife	10/2016	Tasa de cobertura de la prestación de desempleo	50.7			
Santa Cruz de Tenerife	10/2016	Paro resgistrado con experiencia laboral	100912			
Canary Islands	09/2016	Personas beneficiarias	107708			
Canary Islands	09/2016	Tasa de cobertura de la prestación de desempleo	50.6			
Canary Islands	09/2016	Paro resgistrado con experiencia laboral	212949			
Las Palmas	09/2016	Personas beneficiarias	55640			
Las Palmas	09/2016	Tasa de cobertura de la prestación de desempleo	49.4			
Las Palmas	09/2016	Paro resgistrado con experiencia laboral	112682			
Santa Cruz de Tenerife	09/2016	Personas beneficiarias	52068			
Santa Cruz de Tenerife	09/2016	Tasa de cobertura de la prestación de desempleo	51.9			
Santa Cruz de Tenerife	09/2016	Paro resgistrado con experiencia laboral	100267			
Canary Islands	08/2016	Personas beneficiarias	118337			
Canary Islands	08/2016	Tasa de cobertura de la prestación de desempleo	55.3			
Canary Islands	08/2016	Paro resgistrado con experiencia laboral	214119			
Las Palmas	08/2016	Personas beneficiarias	61695			
Las Palmas	08/2016	Tasa de cobertura de la prestación de desempleo	54.5			
Las Palmas	08/2016	Paro resgistrado con experiencia laboral	113245			
Santa Cruz de Tenerife	08/2016	Personas beneficiarias	56642			
Santa Cruz de Tenerife	08/2016	Tasa de cobertura de la prestación de desempleo	56.2			
Santa Cruz de Tenerife	08/2016	Paro resgistrado con experiencia laboral	100874			
Canary Islands	07/2016	Personas beneficiarias	119437			
Canary Islands	07/2016	Tasa de cobertura de la prestación de desempleo	55.3			
Canary Islands	07/2016	Paro resgistrado con experiencia laboral	216122			
Las Palmas	07/2016	Personas beneficiarias	62608			
Las Palmas	07/2016	Tasa de cobertura de la prestación de desempleo	54.9			
Las Palmas	07/2016	Paro resgistrado con experiencia laboral	113997			
Santa Cruz de Tenerife	07/2016	Personas beneficiarias	56829			
Santa Cruz de Tenerife	07/2016	Tasa de cobertura de la prestación de desempleo	55.6			
Santa Cruz de Tenerife	07/2016	Paro resgistrado con experiencia laboral	102125			
Canary Islands	06/2016	Personas beneficiarias	117413			
Canary Islands	06/2016	Tasa de cobertura de la prestación de desempleo	53.2			
Canary Islands	06/2016	Paro resgistrado con experiencia laboral	220783			
Las Palmas	06/2016	Personas beneficiarias	61474			
Las Palmas	06/2016	Tasa de cobertura de la prestación de desempleo	52.9			
Las Palmas	06/2016	Paro resgistrado con experiencia laboral	116099			
Santa Cruz de Tenerife	06/2016	Personas beneficiarias	55939			
Santa Cruz de Tenerife	06/2016	Tasa de cobertura de la prestación de desempleo	53.4			
Santa Cruz de Tenerife	06/2016	Paro resgistrado con experiencia laboral	104684			
Canary Islands	05/2016	Personas beneficiarias	116450			
Canary Islands	05/2016	Tasa de cobertura de la prestación de desempleo	52.1			
Canary Islands	05/2016	Paro resgistrado con experiencia laboral	223498			
Las Palmas	05/2016	Personas beneficiarias	59985			
Las Palmas	05/2016	Tasa de cobertura de la prestación de desempleo	51.2			
Las Palmas	05/2016	Paro resgistrado con experiencia laboral	117067			
Santa Cruz de Tenerife	05/2016	Personas beneficiarias	56465			
Santa Cruz de Tenerife	05/2016	Tasa de cobertura de la prestación de desempleo	53.1			
Santa Cruz de Tenerife	05/2016	Paro resgistrado con experiencia laboral	106431			
Canary Islands	04/2016	Personas beneficiarias	115658			
Canary Islands	04/2016	Tasa de cobertura de la prestación de desempleo	51.2			
Canary Islands	04/2016	Paro resgistrado con experiencia laboral	225774			
Las Palmas	04/2016	Personas beneficiarias	59265			
Las Palmas	04/2016	Tasa de cobertura de la prestación de desempleo	50			
Las Palmas	04/2016	Paro resgistrado con experiencia laboral	118452			
Santa Cruz de Tenerife	04/2016	Personas beneficiarias	56393			
Santa Cruz de Tenerife	04/2016	Tasa de cobertura de la prestación de desempleo	52.5			
Santa Cruz de Tenerife	04/2016	Paro resgistrado con experiencia laboral	107322			
Canary Islands	03/2016	Personas beneficiarias	117130			
Canary Islands	03/2016	Tasa de cobertura de la prestación de desempleo	51.6			
Canary Islands	03/2016	Paro resgistrado con experiencia laboral	226988			
Las Palmas	03/2016	Personas beneficiarias	59672			
Las Palmas	03/2016	Tasa de cobertura de la prestación de desempleo	50.1			
Las Palmas	03/2016	Paro resgistrado con experiencia laboral	119110			
Santa Cruz de Tenerife	03/2016	Personas beneficiarias	57458			
Santa Cruz de Tenerife	03/2016	Tasa de cobertura de la prestación de desempleo	53.3			
Santa Cruz de Tenerife	03/2016	Paro resgistrado con experiencia laboral	107878			
Canary Islands	02/2016	Personas beneficiarias	118882			
Canary Islands	02/2016	Tasa de cobertura de la prestación de desempleo	52			
Canary Islands	02/2016	Paro resgistrado con experiencia laboral	228605			
Las Palmas	02/2016	Personas beneficiarias	60723			
Las Palmas	02/2016	Tasa de cobertura de la prestación de desempleo	50.4			
Las Palmas	02/2016	Paro resgistrado con experiencia laboral	120366			
Santa Cruz de Tenerife	02/2016	Personas beneficiarias	58159			
Santa Cruz de Tenerife	02/2016	Tasa de cobertura de la prestación de desempleo	53.7			
Santa Cruz de Tenerife	02/2016	Paro resgistrado con experiencia laboral	108239			
Canary Islands	01/2016	Personas beneficiarias	120295			
Canary Islands	01/2016	Tasa de cobertura de la prestación de desempleo	52			
Canary Islands	01/2016	Paro resgistrado con experiencia laboral	231169			
Las Palmas	01/2016	Personas beneficiarias	61198			
Las Palmas	01/2016	Tasa de cobertura de la prestación de desempleo	50.3			
Las Palmas	01/2016	Paro resgistrado con experiencia laboral	121550			
Santa Cruz de Tenerife	01/2016	Personas beneficiarias	59097			
Santa Cruz de Tenerife	01/2016	Tasa de cobertura de la prestación de desempleo	53.9			
Santa Cruz de Tenerife	01/2016	Paro resgistrado con experiencia laboral	109619			
Canary Islands	2015	Personas beneficiarias	125193			
Canary Islands	2015	Tasa de cobertura de la prestación de desempleo	53.2			
Canary Islands	2015	Paro resgistrado con experiencia laboral	235451			
Las Palmas	2015	Personas beneficiarias	65528			
Las Palmas	2015	Tasa de cobertura de la prestación de desempleo	52.3			
Las Palmas	2015	Paro resgistrado con experiencia laboral	125245			
Santa Cruz de Tenerife	2015	Personas beneficiarias	59664			
Santa Cruz de Tenerife	2015	Tasa de cobertura de la prestación de desempleo	54.1			
Santa Cruz de Tenerife	2015	Paro resgistrado con experiencia laboral	110206			
Canary Islands	12/2015	Personas beneficiarias	117686			
Canary Islands	12/2015	Tasa de cobertura de la prestación de desempleo	50.8			
Canary Islands	12/2015	Paro resgistrado con experiencia laboral	231755			
Las Palmas	12/2015	Personas beneficiarias	59993			
Las Palmas	12/2015	Tasa de cobertura de la prestación de desempleo	49.1			
Las Palmas	12/2015	Paro resgistrado con experiencia laboral	122063			
Santa Cruz de Tenerife	12/2015	Personas beneficiarias	57693			
Santa Cruz de Tenerife	12/2015	Tasa de cobertura de la prestación de desempleo	52.6			
Santa Cruz de Tenerife	12/2015	Paro resgistrado con experiencia laboral	109692			
Canary Islands	11/2015	Personas beneficiarias	119316			
Canary Islands	11/2015	Tasa de cobertura de la prestación de desempleo	51.2			
Canary Islands	11/2015	Paro resgistrado con experiencia laboral	233117			
Las Palmas	11/2015	Personas beneficiarias	60985			
Las Palmas	11/2015	Tasa de cobertura de la prestación de desempleo	49.7			
Las Palmas	11/2015	Paro resgistrado con experiencia laboral	122823			
Santa Cruz de Tenerife	11/2015	Personas beneficiarias	58331			
Santa Cruz de Tenerife	11/2015	Tasa de cobertura de la prestación de desempleo	52.9			
Santa Cruz de Tenerife	11/2015	Paro resgistrado con experiencia laboral	110294			
Canary Islands	10/2015	Personas beneficiarias	118681			
Canary Islands	10/2015	Tasa de cobertura de la prestación de desempleo	51.1			
Canary Islands	10/2015	Paro resgistrado con experiencia laboral	232436			
Las Palmas	10/2015	Personas beneficiarias	61620			
Las Palmas	10/2015	Tasa de cobertura de la prestación de desempleo	50.1			
Las Palmas	10/2015	Paro resgistrado con experiencia laboral	123106			
Santa Cruz de Tenerife	10/2015	Personas beneficiarias	57061			
Santa Cruz de Tenerife	10/2015	Tasa de cobertura de la prestación de desempleo	52.2			
Santa Cruz de Tenerife	10/2015	Paro resgistrado con experiencia laboral	109330			
Canary Islands	09/2015	Personas beneficiarias	118441			
Canary Islands	09/2015	Tasa de cobertura de la prestación de desempleo	51.8			
Canary Islands	09/2015	Paro resgistrado con experiencia laboral	228617			
Las Palmas	09/2015	Personas beneficiarias	62178			
Las Palmas	09/2015	Tasa de cobertura de la prestación de desempleo	50.8			
Las Palmas	09/2015	Paro resgistrado con experiencia laboral	122322			
Santa Cruz de Tenerife	09/2015	Personas beneficiarias	56263			
Santa Cruz de Tenerife	09/2015	Tasa de cobertura de la prestación de desempleo	52.9			
Santa Cruz de Tenerife	09/2015	Paro resgistrado con experiencia laboral	106295			
Canary Islands	08/2015	Personas beneficiarias	130257			
Canary Islands	08/2015	Tasa de cobertura de la prestación de desempleo	56.8			
Canary Islands	08/2015	Paro resgistrado con experiencia laboral	229273			
Las Palmas	08/2015	Personas beneficiarias	68825			
Las Palmas	08/2015	Tasa de cobertura de la prestación de desempleo	56.2			
Las Palmas	08/2015	Paro resgistrado con experiencia laboral	122378			
Santa Cruz de Tenerife	08/2015	Personas beneficiarias	61432			
Santa Cruz de Tenerife	08/2015	Tasa de cobertura de la prestación de desempleo	57.5			
Santa Cruz de Tenerife	08/2015	Paro resgistrado con experiencia laboral	106895			
Canary Islands	07/2015	Personas beneficiarias	131457			
Canary Islands	07/2015	Tasa de cobertura de la prestación de desempleo	57			
Canary Islands	07/2015	Paro resgistrado con experiencia laboral	230461			
Las Palmas	07/2015	Personas beneficiarias	69854			
Las Palmas	07/2015	Tasa de cobertura de la prestación de desempleo	56.8			
Las Palmas	07/2015	Paro resgistrado con experiencia laboral	123027			
Santa Cruz de Tenerife	07/2015	Personas beneficiarias	61603			
Santa Cruz de Tenerife	07/2015	Tasa de cobertura de la prestación de desempleo	57.3			
Santa Cruz de Tenerife	07/2015	Paro resgistrado con experiencia laboral	107434			
Canary Islands	06/2015	Personas beneficiarias	128592			
Canary Islands	06/2015	Tasa de cobertura de la prestación de desempleo	54.8			
Canary Islands	06/2015	Paro resgistrado con experiencia laboral	234698			
Las Palmas	06/2015	Personas beneficiarias	68587			
Las Palmas	06/2015	Tasa de cobertura de la prestación de desempleo	54.7			
Las Palmas	06/2015	Paro resgistrado con experiencia laboral	125418			
Santa Cruz de Tenerife	06/2015	Personas beneficiarias	60005			
Santa Cruz de Tenerife	06/2015	Tasa de cobertura de la prestación de desempleo	54.9			
Santa Cruz de Tenerife	06/2015	Paro resgistrado con experiencia laboral	109280			
Canary Islands	05/2015	Personas beneficiarias	128761			
Canary Islands	05/2015	Tasa de cobertura de la prestación de desempleo	54.1			
Canary Islands	05/2015	Paro resgistrado con experiencia laboral	237819			
Las Palmas	05/2015	Personas beneficiarias	67959			
Las Palmas	05/2015	Tasa de cobertura de la prestación de desempleo	53.4			
Las Palmas	05/2015	Paro resgistrado con experiencia laboral	127375			
Santa Cruz de Tenerife	05/2015	Personas beneficiarias	60802			
Santa Cruz de Tenerife	05/2015	Tasa de cobertura de la prestación de desempleo	55.1			
Santa Cruz de Tenerife	05/2015	Paro resgistrado con experiencia laboral	110444			
Canary Islands	04/2015	Personas beneficiarias	129274			
Canary Islands	04/2015	Tasa de cobertura de la prestación de desempleo	53.9			
Canary Islands	04/2015	Paro resgistrado con experiencia laboral	239850			
Las Palmas	04/2015	Personas beneficiarias	68102			
Las Palmas	04/2015	Tasa de cobertura de la prestación de desempleo	53			
Las Palmas	04/2015	Paro resgistrado con experiencia laboral	128614			
Santa Cruz de Tenerife	04/2015	Personas beneficiarias	61172			
Santa Cruz de Tenerife	04/2015	Tasa de cobertura de la prestación de desempleo	55			
Santa Cruz de Tenerife	04/2015	Paro resgistrado con experiencia laboral	111236			
Canary Islands	03/2015	Personas beneficiarias	125850			
Canary Islands	03/2015	Tasa de cobertura de la prestación de desempleo	52.1			
Canary Islands	03/2015	Paro resgistrado con experiencia laboral	241526			
Las Palmas	03/2015	Personas beneficiarias	65989			
Las Palmas	03/2015	Tasa de cobertura de la prestación de desempleo	51.4			
Las Palmas	03/2015	Paro resgistrado con experiencia laboral	128318			
Santa Cruz de Tenerife	03/2015	Personas beneficiarias	59861			
Santa Cruz de Tenerife	03/2015	Tasa de cobertura de la prestación de desempleo	52.9			
Santa Cruz de Tenerife	03/2015	Paro resgistrado con experiencia laboral	113208			
Canary Islands	02/2015	Personas beneficiarias	125850			
Canary Islands	02/2015	Tasa de cobertura de la prestación de desempleo	51.8			
Canary Islands	02/2015	Paro resgistrado con experiencia laboral	242872			
Las Palmas	02/2015	Personas beneficiarias	65989			
Las Palmas	02/2015	Tasa de cobertura de la prestación de desempleo	51.2			
Las Palmas	02/2015	Paro resgistrado con experiencia laboral	128944			
Santa Cruz de Tenerife	02/2015	Personas beneficiarias	59861			
Santa Cruz de Tenerife	02/2015	Tasa de cobertura de la prestación de desempleo	52.5			
Santa Cruz de Tenerife	02/2015	Paro resgistrado con experiencia laboral	113928			
Canary Islands	01/2015	Personas beneficiarias	125372			
Canary Islands	01/2015	Tasa de cobertura de la prestación de desempleo	51.6			
Canary Islands	01/2015	Paro resgistrado con experiencia laboral	242983			
Las Palmas	01/2015	Personas beneficiarias	64801			
Las Palmas	01/2015	Tasa de cobertura de la prestación de desempleo	50.4			
Las Palmas	01/2015	Paro resgistrado con experiencia laboral	128551			
Santa Cruz de Tenerife	01/2015	Personas beneficiarias	60571			
Santa Cruz de Tenerife	01/2015	Tasa de cobertura de la prestación de desempleo	52.9			
Santa Cruz de Tenerife	01/2015	Paro resgistrado con experiencia laboral	114432			
Canary Islands	2014	Personas beneficiarias	138982			
Canary Islands	2014	Tasa de cobertura de la prestación de desempleo	55			
Canary Islands	2014	Paro resgistrado con experiencia laboral	252674			
Las Palmas	2014	Personas beneficiarias	72080			
Las Palmas	2014	Tasa de cobertura de la prestación de desempleo	53.9			
Las Palmas	2014	Paro resgistrado con experiencia laboral	133646			
Santa Cruz de Tenerife	2014	Personas beneficiarias	66902			
Santa Cruz de Tenerife	2014	Tasa de cobertura de la prestación de desempleo	56.2			
Santa Cruz de Tenerife	2014	Paro resgistrado con experiencia laboral	119028			
Canary Islands	12/2014	Personas beneficiarias	126219			
Canary Islands	12/2014	Tasa de cobertura de la prestación de desempleo	52			
Canary Islands	12/2014	Paro resgistrado con experiencia laboral	242582			
Las Palmas	12/2014	Personas beneficiarias	65594			
Las Palmas	12/2014	Tasa de cobertura de la prestación de desempleo	51.1			
Las Palmas	12/2014	Paro resgistrado con experiencia laboral	128390			
Santa Cruz de Tenerife	12/2014	Personas beneficiarias	60625			
Santa Cruz de Tenerife	12/2014	Tasa de cobertura de la prestación de desempleo	53.1			
Santa Cruz de Tenerife	12/2014	Paro resgistrado con experiencia laboral	114192			
Canary Islands	11/2014	Personas beneficiarias	129512			
Canary Islands	11/2014	Tasa de cobertura de la prestación de desempleo	52.5			
Canary Islands	11/2014	Paro resgistrado con experiencia laboral	246859			
Las Palmas	11/2014	Personas beneficiarias	67097			
Las Palmas	11/2014	Tasa de cobertura de la prestación de desempleo	51.4			
Las Palmas	11/2014	Paro resgistrado con experiencia laboral	130563			
Santa Cruz de Tenerife	11/2014	Personas beneficiarias	62415			
Santa Cruz de Tenerife	11/2014	Tasa de cobertura de la prestación de desempleo	53.7			
Santa Cruz de Tenerife	11/2014	Paro resgistrado con experiencia laboral	116296			
Canary Islands	10/2014	Personas beneficiarias	131316			
Canary Islands	10/2014	Tasa de cobertura de la prestación de desempleo	53.1			
Canary Islands	10/2014	Paro resgistrado con experiencia laboral	247366			
Las Palmas	10/2014	Personas beneficiarias	68231			
Las Palmas	10/2014	Tasa de cobertura de la prestación de desempleo	52.2			
Las Palmas	10/2014	Paro resgistrado con experiencia laboral	130662			
Santa Cruz de Tenerife	10/2014	Personas beneficiarias	63085			
Santa Cruz de Tenerife	10/2014	Tasa de cobertura de la prestación de desempleo	54.1			
Santa Cruz de Tenerife	10/2014	Paro resgistrado con experiencia laboral	116704			
Canary Islands	09/2014	Personas beneficiarias	130679			
Canary Islands	09/2014	Tasa de cobertura de la prestación de desempleo	52.7			
Canary Islands	09/2014	Paro resgistrado con experiencia laboral	248181			
Las Palmas	09/2014	Personas beneficiarias	67693			
Las Palmas	09/2014	Tasa de cobertura de la prestación de desempleo	51.8			
Las Palmas	09/2014	Paro resgistrado con experiencia laboral	130559			
Santa Cruz de Tenerife	09/2014	Personas beneficiarias	62986			
Santa Cruz de Tenerife	09/2014	Tasa de cobertura de la prestación de desempleo	53.5			
Santa Cruz de Tenerife	09/2014	Paro resgistrado con experiencia laboral	117622			
Canary Islands	08/2014	Personas beneficiarias	141305			
Canary Islands	08/2014	Tasa de cobertura de la prestación de desempleo	56.8			
Canary Islands	08/2014	Paro resgistrado con experiencia laboral	248739			
Las Palmas	08/2014	Personas beneficiarias	73744			
Las Palmas	08/2014	Tasa de cobertura de la prestación de desempleo	56.2			
Las Palmas	08/2014	Paro resgistrado con experiencia laboral	131117			
Santa Cruz de Tenerife	08/2014	Personas beneficiarias	67561			
Santa Cruz de Tenerife	08/2014	Tasa de cobertura de la prestación de desempleo	57.4			
Santa Cruz de Tenerife	08/2014	Paro resgistrado con experiencia laboral	117622			
Canary Islands	07/2014	Personas beneficiarias	145133			
Canary Islands	07/2014	Tasa de cobertura de la prestación de desempleo	57.9			
Canary Islands	07/2014	Paro resgistrado con experiencia laboral	250658			
Las Palmas	07/2014	Personas beneficiarias	75941			
Las Palmas	07/2014	Tasa de cobertura de la prestación de desempleo	57.4			
Las Palmas	07/2014	Paro resgistrado con experiencia laboral	132289			
Santa Cruz de Tenerife	07/2014	Personas beneficiarias	69192			
Santa Cruz de Tenerife	07/2014	Tasa de cobertura de la prestación de desempleo	58.5			
Santa Cruz de Tenerife	07/2014	Paro resgistrado con experiencia laboral	118369			
Canary Islands	06/2014	Personas beneficiarias	141561			
Canary Islands	06/2014	Tasa de cobertura de la prestación de desempleo	55.9			
Canary Islands	06/2014	Paro resgistrado con experiencia laboral	253036			
Las Palmas	06/2014	Personas beneficiarias	74121			
Las Palmas	06/2014	Tasa de cobertura de la prestación de desempleo	55.3			
Las Palmas	06/2014	Paro resgistrado con experiencia laboral	133996			
Santa Cruz de Tenerife	06/2014	Personas beneficiarias	67440			
Santa Cruz de Tenerife	06/2014	Tasa de cobertura de la prestación de desempleo	56.7			
Santa Cruz de Tenerife	06/2014	Paro resgistrado con experiencia laboral	119040			
Canary Islands	05/2014	Personas beneficiarias	141978			
Canary Islands	05/2014	Tasa de cobertura de la prestación de desempleo	55.2			
Canary Islands	05/2014	Paro resgistrado con experiencia laboral	257025			
Las Palmas	05/2014	Personas beneficiarias	73730			
Las Palmas	05/2014	Tasa de cobertura de la prestación de desempleo	54.1			
Las Palmas	05/2014	Paro resgistrado con experiencia laboral	136287			
Santa Cruz de Tenerife	05/2014	Personas beneficiarias	68248			
Santa Cruz de Tenerife	05/2014	Tasa de cobertura de la prestación de desempleo	56.5			
Santa Cruz de Tenerife	05/2014	Paro resgistrado con experiencia laboral	120738			
Canary Islands	04/2014	Personas beneficiarias	142461			
Canary Islands	04/2014	Tasa de cobertura de la prestación de desempleo	54.9			
Canary Islands	04/2014	Paro resgistrado con experiencia laboral	259356			
Las Palmas	04/2014	Personas beneficiarias	73415			
Las Palmas	04/2014	Tasa de cobertura de la prestación de desempleo	53.4			
Las Palmas	04/2014	Paro resgistrado con experiencia laboral	137421			
Santa Cruz de Tenerife	04/2014	Personas beneficiarias	69046			
Santa Cruz de Tenerife	04/2014	Tasa de cobertura de la prestación de desempleo	56.6			
Santa Cruz de Tenerife	04/2014	Paro resgistrado con experiencia laboral	121935			
Canary Islands	03/2014	Personas beneficiarias	143949			
Canary Islands	03/2014	Tasa de cobertura de la prestación de desempleo	55.3			
Canary Islands	03/2014	Paro resgistrado con experiencia laboral	260168			
Las Palmas	03/2014	Personas beneficiarias	73908			
Las Palmas	03/2014	Tasa de cobertura de la prestación de desempleo	53.7			
